Date,Open,High,Low,Close,Adj Close,Volume
12/12/1980,0.513393,0.515625,0.513393,0.513393,0.410525,117258400
12/15/1980,0.488839,0.488839,0.486607,0.486607,0.389106,43971200
12/16/1980,0.453125,0.453125,0.450893,0.450893,0.360548,26432000
12/17/1980,0.462054,0.464286,0.462054,0.462054,0.369472,21610400
12/18/1980,0.475446,0.477679,0.475446,0.475446,0.380182,18362400
12/19/1980,0.504464,0.506696,0.504464,0.504464,0.403385,12157600
12/22/1980,0.529018,0.53125,0.529018,0.529018,0.423019,9340800
12/23/1980,0.551339,0.553571,0.551339,0.551339,0.440868,11737600
12/24/1980,0.580357,0.582589,0.580357,0.580357,0.464072,12000800
12/26/1980,0.633929,0.636161,0.633929,0.633929,0.506909,13893600
12/29/1980,0.642857,0.645089,0.642857,0.642857,0.514049,23290400
12/30/1980,0.629464,0.629464,0.627232,0.627232,0.501554,17220000
12/31/1980,0.611607,0.611607,0.609375,0.609375,0.487276,8937600
1/2/1981,0.616071,0.620536,0.616071,0.616071,0.49263,5415200
1/5/1981,0.604911,0.604911,0.602679,0.602679,0.481921,8932000
1/6/1981,0.578125,0.578125,0.575893,0.575893,0.460502,11289600
1/7/1981,0.553571,0.553571,0.551339,0.551339,0.440868,13921600
1/8/1981,0.542411,0.542411,0.540179,0.540179,0.431944,9956800
1/9/1981,0.569196,0.571429,0.569196,0.569196,0.455147,5376000
1/12/1981,0.569196,0.569196,0.564732,0.564732,0.451577,5924800
1/13/1981,0.546875,0.546875,0.544643,0.544643,0.435513,5762400
1/14/1981,0.546875,0.549107,0.546875,0.546875,0.437298,3572800
1/15/1981,0.558036,0.5625,0.558036,0.558036,0.446223,3516800
1/16/1981,0.555804,0.555804,0.553571,0.553571,0.442653,3348800
1/19/1981,0.587054,0.589286,0.587054,0.587054,0.469426,10393600
1/20/1981,0.571429,0.571429,0.569196,0.569196,0.455147,7520800
1/21/1981,0.580357,0.584821,0.580357,0.580357,0.464072,3976000
1/22/1981,0.587054,0.591518,0.587054,0.587054,0.469426,8887200
1/23/1981,0.587054,0.589286,0.584821,0.584821,0.467641,2805600
1/26/1981,0.578125,0.578125,0.575893,0.575893,0.460502,6160000
1/27/1981,0.575893,0.575893,0.571429,0.571429,0.456932,5924800
